# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -10121 6 42 65 26484489 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -10121 6 42 65 26482386 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_WITHIN_SAME_TREE -10121 10 42 65 26483695 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.b1e91d127880.js
DUPTYPE_WITHIN_SAME_TREE -10121 10 42 65 26483167 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/rnotwhite.js
DUPTYPE_FIRST_OCCURRENCE 12667 6 43 65 26355027 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBox/ListBox.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12667 6 43 65 26355002 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12667 6 43 65 26349276 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBox/ListBox.scss
DUPTYPE_WITHIN_SAME_TREE -12667 6 43 65 26354903 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBox/ListBox.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12667 6 43 65 26348843 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBox/ListBox.scss
DUPTYPE_WITHIN_SAME_TREE -12667 6 43 65 26348804 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.scss
DUPTYPE_WITHIN_SAME_TREE -12667 6 43 65 26354878 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.44f280bf3344.scss
DUPTYPE_WITHIN_SAME_TREE -12667 6 43 65 26349238 5 /openedx/staticfiles/frontend-component-cookie-policy-banner/node_modules/@edx/paragon/src/ListBoxOption/ListBoxOption.scss
DUPTYPE_FIRST_OCCURRENCE 4471 3 43 65 26216809 5 /openedx/staticfiles/js/capa/genex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 3 43 65 26350742 5 /openedx/staticfiles/vendor/jsme/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4471 3 43 65 26215463 5 /openedx/staticfiles/js/capa/protex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4471 3 43 65 26215270 5 /openedx/staticfiles/js/capa/jsmolcalc/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4471 3 43 65 26216851 5 /openedx/staticfiles/js/capa/protex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26485351 5 /openedx/staticfiles/studio/vendor/jsme/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26353325 5 /openedx/staticfiles/studio/js/capa/protex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4471 3 43 65 26357739 5 /openedx/staticfiles/vendor/jsme/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 3 43 65 26215343 5 /openedx/staticfiles/js/capa/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26353174 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4471 3 43 65 26216819 5 /openedx/staticfiles/js/capa/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26359601 5 /openedx/staticfiles/studio/js/capa/protex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 3 43 65 26216794 5 /openedx/staticfiles/js/capa/jsmolcalc/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26353235 5 /openedx/staticfiles/studio/js/capa/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26353211 5 /openedx/staticfiles/studio/js/capa/genex/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26359544 5 /openedx/staticfiles/studio/js/capa/jsmolcalc/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26359559 5 /openedx/staticfiles/studio/js/capa/genex/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26359569 5 /openedx/staticfiles/studio/js/capa/jsme/clear.cache.6d22e4f2d205.gif
DUPTYPE_WITHIN_SAME_TREE -4471 4 43 65 26481491 5 /openedx/staticfiles/studio/vendor/jsme/jsme/clear.cache.gif
DUPTYPE_WITHIN_SAME_TREE -4471 3 43 65 26215315 5 /openedx/staticfiles/js/capa/genex/clear.cache.gif
DUPTYPE_FIRST_OCCURRENCE 16267 8 43 65 26216454 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.12bf9e193749.gif
DUPTYPE_WITHIN_SAME_TREE -16267 9 43 65 26354273 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.12bf9e193749.gif
DUPTYPE_WITHIN_SAME_TREE -16267 8 43 65 26215697 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.gif
DUPTYPE_WITHIN_SAME_TREE -16267 9 43 65 26353528 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/trans.gif
DUPTYPE_FIRST_OCCURRENCE 3643 2 44 65 26358278 5 /openedx/staticfiles/templates/learner_dashboard/sidebar.a51ef756c536.underscore
DUPTYPE_WITHIN_SAME_TREE -3643 2 44 65 26348090 5 /openedx/staticfiles/templates/learner_dashboard/sidebar.underscore
DUPTYPE_FIRST_OCCURRENCE 12813 6 45 65 26355118 5 /openedx/staticfiles/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12813 11 45 65 26483141 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12813 11 45 65 26483641 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12813 10 45 65 26352076 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12813 7 45 65 26482360 5 /openedx/staticfiles/studio/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12813 10 45 65 26354314 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_WITHIN_SAME_TREE -12813 6 45 65 26351699 5 /openedx/staticfiles/js/bower/jquery/src/css/var/rmargin.js
DUPTYPE_WITHIN_SAME_TREE -12813 7 45 65 26483923 5 /openedx/staticfiles/studio/js/bower/jquery/src/css/var/rmargin.028581c37c9d.js
DUPTYPE_FIRST_OCCURRENCE 16269 8 46 65 26216457 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.c136c9f8e007.gif
DUPTYPE_WITHIN_SAME_TREE -16269 9 46 65 26353531 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_WITHIN_SAME_TREE -16269 9 46 65 26354276 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.c136c9f8e007.gif
DUPTYPE_WITHIN_SAME_TREE -16269 8 46 65 26215700 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/wline.gif
DUPTYPE_FIRST_OCCURRENCE 7433 4 48 65 26356339 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_WITHIN_SAME_TREE -7433 5 48 65 26479852 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_WITHIN_SAME_TREE -7433 4 48 65 26345932 5 /openedx/staticfiles/css/vendor/slickgrid/images/header-columns-over-bg.gif
DUPTYPE_WITHIN_SAME_TREE -7433 5 48 65 26484634 5 /openedx/staticfiles/studio/css/vendor/slickgrid/images/header-columns-over-bg.d8a4e91fcc30.gif
DUPTYPE_FIRST_OCCURRENCE 10125 5 50 65 26356174 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10125 6 50 65 26484486 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10125 6 50 65 26482383 5 /openedx/staticfiles/studio/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10125 9 50 65 26354388 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_WITHIN_SAME_TREE -10125 5 50 65 26351730 5 /openedx/staticfiles/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10125 10 50 65 26483164 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10125 9 50 65 26352110 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.js
DUPTYPE_WITHIN_SAME_TREE -10125 10 50 65 26483692 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/var/strundefined.9e452cb4a553.js
DUPTYPE_FIRST_OCCURRENCE 4079 3 52 65 26357066 5 /openedx/staticfiles/common/js/vendor/index.55c2f095862b.js
DUPTYPE_WITHIN_SAME_TREE -4079 4 52 65 26485085 5 /openedx/staticfiles/studio/common/js/vendor/index.55c2f095862b.js
DUPTYPE_WITHIN_SAME_TREE -4079 4 52 65 26480257 5 /openedx/staticfiles/studio/common/js/vendor/index.js
DUPTYPE_WITHIN_SAME_TREE -4079 3 52 65 26346524 5 /openedx/staticfiles/common/js/vendor/index.js
DUPTYPE_FIRST_OCCURRENCE 16261 8 53 65 26216455 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_WITHIN_SAME_TREE -16261 9 53 65 26354274 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.abd361357180.gif
DUPTYPE_WITHIN_SAME_TREE -16261 8 53 65 26215698 5 /openedx/staticfiles/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_WITHIN_SAME_TREE -16261 9 53 65 26353529 5 /openedx/staticfiles/studio/js/vendor/tinymce/js/tinymce/skins/studio-tmce4/img/anchor.gif
DUPTYPE_FIRST_OCCURRENCE 401 1 53 65 26359093 5 /openedx/staticfiles/flags/__.3e5d99b5dd7b.gif
DUPTYPE_WITHIN_SAME_TREE -401 1 53 65 26351406 5 /openedx/staticfiles/flags/__.gif
DUPTYPE_FIRST_OCCURRENCE 9927 5 54 65 26355795 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.d88b9159a635.js
DUPTYPE_WITHIN_SAME_TREE -9927 5 54 65 26350252 5 /openedx/staticfiles/edx-bootstrap/node_modules/jquery/src/var/arr.js
DUPTYPE_FIRST_OCCURRENCE 5305 3 57 65 26357640 5 /openedx/staticfiles/paragon/src/Icon/Icon.699670200795.scss
DUPTYPE_WITHIN_SAME_TREE -5305 6 57 65 26354846 5 /openedx/staticfiles/studio-frontend/node_modules/@edx/paragon/src/Icon/Icon.699670200795.scss
